Country,Code,Year,Annual-CO2-Emissions,GDP-per-capita,Population
Afghanistan,AFG,2022,0.29536375,1358,40578846
Albania,ALB,2022,1.7432004,12978,2827615
Algeria,DZA,2022,3.9272263,13506,45477391
American Samoa,ASM,2022,,,48365
Andorra,AND,2022,4.6171236,,79722
Angola,AGO,2022,0.45155162,6119,35635028
Anguilla,AIA,2022,8.752724,,14202
Antigua and Barbuda,ATG,2022,6.4218745,,92851
Argentina,ARG,2022,4.2378173,18292,45407904
Armenia,ARM,2022,2.3045583,13838,2880883
Aruba,ABW,2022,8.133404,,107792
Australia,AUS,2022,14.985412,52049,26200987
Austria,AUT,2022,6.8781943,43793,9064679
Azerbaijan,AZE,2022,3.6746833,17683,10295307
Bahamas,BHS,2022,5.1708703,,397544
Bahrain,BHR,2022,25.672274,38652,1533459
Bangladesh,BGD,2022,0.5964455,4926,169384890
Barbados,BRB,2022,4.3772573,11546,282324
Belarus,BLR,2022,6.1669006,18700,9173241
Belgium,BEL,2022,7.6875386,41872,11641813
Belize,BLZ,2022,1.7894346,,402741
Benin,BEN,2022,0.631487,2477,13759507
Bermuda,BMU,2022,6.9370627,,64772
Bhutan,BTN,2022,1.3489918,,780920
Bolivia,BOL,2022,1.7583066,6481,12077155
Bonaire Sint Eustatius and Saba,BES,2022,4.083284,,28654
Bosnia and Herzegovina,BIH,2022,6.1034565,12143,3204805
Botswana,BWA,2022,2.838951,16352,2439895
Brazil,BRA,2022,2.2454574,14640,210306411
British Virgin Islands,VGB,2022,5.0039577,,38344
Brunei,BRN,2022,23.950201,,455374
Bulgaria,BGR,2022,6.8044534,20592,6825863
Burkina Faso,BFA,2022,0.26295447,1705,22509037
Burundi,BDI,2022,0.06194545,717,13321101
Cambodia,KHM,2022,1.1900775,3944,17201717
Cameroon,CMR,2022,0.34292704,2812,27632771
Canada,CAN,2022,14.249212,45530,38821260
Cape Verde,CPV,2022,0.9588915,7203,519750
Cayman Islands,CYM,2022,,,71609
Central African Republic,CAF,2022,0.040548485,596,5098038
Chad,TCD,2022,0.13367727,1394,18455319
Chile,CHL,2022,4.3041654,22741,19553032
China,CHN,2022,7.992761,19238,1425179562
Colombia,COL,2022,1.9223082,14469,51737944
Comoros,COM,2022,0.49327007,1900,834192
Congo,COG,2022,1.2447897,4188,6035107
Cook Islands,COK,2022,3.9950094,,14747
Costa Rica,CRI,2022,1.5226681,15497,5081765
Cote d'Ivoire,CIV,2022,0.41668788,4012,30395003
Croatia,HRV,2022,4.348515,26987,3907031
Cuba,CUB,2022,1.8659163,7649,11059821
